"","district_code","area_name","desc","housing","safety","transit","shopping","health","entertainment","community","diversity","education","employment"
"61",70,"South Riverdale","(Includes parts of Leslieville, East Chinatown, the Studio District and the Port Lands)","76.4","7.9","87.9","61.4","35.0","70.7","34.3","24.3","10.7","87.1"
"62",114,"Lambton Baby Point","(Includes parts of Old Mill and Warren Park)","92.9","100.0","22.1","4.3","35.7","7.9","85.0","21.4","52.1","65.7"
"63",20,"Alderwood",NA,"97.9","70.0","37.1","18.6","8.6","40.0","91.4","20.0","20.7","76.4"
"64",140,"Guildwood","(Includes parts of Scarborough Village)","94.3","94.3","0.7","2.1","47.1","2.1","85.7","17.9","83.6","61.4"
"65",19,"Long Branch",NA,"66.4","92.1","27.9","62.9","32.9","65.7","4.3","14.3","27.1","67.9"
"66",10,"Princess-Rosethorn","(Includes parts of Glen Agar, Princess Margaret, Princess Anne Manor and Thorncrest Village)","98.6","58.6","18.6","0.7","52.1","0.7","69.3","26.4","85.7","91.4"
"67",27,"York University Heights",NA,"40.7","2.1","68.6","56.4","79.3","57.9","63.6","82.9","47.9","10.0"
"68",133,"Centennial Scarborough","(Includes parts of Port Union)","85.0","99.3","2.1","2.9","62.9","10.7","92.9","33.6","17.9","66.4"
"69",119,"Wexford/Maryvale",NA,"55.0","15.7","45.7","58.6","52.9","52.9","80.0","52.1","57.1","32.1"
"70",37,"Willowdale West",NA,"14.3","62.1","66.4","42.1","20.0","67.1","30.0","77.9","91.4","43.6"
"71",40,"St. Andrew-Windfields","(Includes parts of Silver Hills)","45.7","58.6","56.4","19.3","74.3","27.9","5.7","60.0","95.0","56.4"
"72",110,"Keelesdale-Eglinton West",NA,"37.1","80.0","10.7","85.7","11.4","74.3","10.7","80.7","59.3","27.9"
"73",93,"Dovercourt-Wallace Emerson-Junction","(Includes parts of the Junction Triangle, Davenport and Bloorcourt Village)","26.4","12.1","93.6","85.0","21.4","80.7","23.6","43.6","51.4","57.9"
"74",8,"Humber Heights-Westmount",NA,"87.1","71.4","10.0","22.9","10.7","12.9","99.3","54.3","55.0","55.7"
"75",55,"Thorncliffe Park",NA,"7.1","63.6","57.9","74.3","72.1","50.7","46.4","96.4","3.6","4.3"
"76",53,"Henry Farm","(Includes parts of Parkway Forest)","0.7","81.4","32.9","45.7","47.9","68.6","58.6","92.9","47.1","20.7"
"77",1,"West Humber-Clairville",NA,"77.9","0.7","42.9","7.9","76.4","26.4","82.1","88.6","60.0","28.6"
"78",23,"Pelmo Park-Humberlea",NA,"95.7","67.1","13.6","15.0","24.3","18.6","97.1","57.9","2.9","60.0"
"79",7,"Willowridge-Martingrove-Richview","(Includes parts of Richmond Park and Royal York Gardens)","79.3","42.1","30.7","41.4","15.0","15.0","96.4","52.1","52.9","47.9"
"80",50,"Newtonbrook East","(Includes parts of Steeles Corners)","17.1","67.9","50.7","35.7","45.0","39.3","16.4","92.1","92.1","38.6"
"81",33,"Clanton Park","(Includes parts of Wilson Heights)","19.3","38.6","75.0","57.1","74.3","35.7","16.4","46.4","45.7","77.9"
"82",127,"Bendale","(Includes parts of Midland Park)","47.1","8.6","69.3","39.3","65.7","55.7","44.3","75.7","40.7","23.6"
"83",134,"Highland Creek",NA,"72.1","75.7","5.0","7.1","46.4","6.4","55.0","69.3","78.6","50.7"
"84",9,"Edenbridge-Humber Valley","(Includes parts of Chestnut Hills)","83.6","75.0","17.1","9.3","73.6","4.3","40.0","37.9","14.3","85.7"
"85",11,"Eringate-Centennial-West Deane",NA,"89.3","52.9","23.6","6.4","17.1","7.1","94.3","40.7","67.9","62.9"
"86",18,"New Toronto",NA,"43.6","40.7","29.3","47.1","70.7","58.6","60.7","25.0","44.3","40.0"
"87",21,"Humber Summit",NA,"90.7","23.6","33.6","24.3","34.3","30.7","94.3","85.7","1.4","16.4"
"88",51,"Willowdale East",NA,"13.6","13.6","62.1","55.7","42.1","77.1","11.4","95.0","57.1","47.1"
"89",57,"Broadview North",NA,"9.3","87.1","58.6","80.7","16.4","47.1","2.9","40.7","41.4","52.1"
"90",25,"Glenfield-Jane Heights","(Includes parts of Jane and Finch)","58.6","10.0","25.0","72.1","42.9","45.7","72.1","90.7","17.9","3.6"
"91",52,"Bayview Village",NA,"24.3","61.4","47.9","30.0","62.1","20.7","7.1","83.6","64.3","52.1"
"92",113,"Weston",NA,"15.7","20.0","37.1","91.4","70.7","84.3","12.9","55.0","37.1","17.1"
"93",106,"Humewood-Cedarvale",NA,"7.9","76.4","55.0","52.1","60.7","49.3","10.0","22.1","28.6","75.7"
"94",4,"Rexdale-Kipling",NA,"72.9","72.1","12.1","47.1","31.4","37.1","43.6","47.1","12.1","27.1"
"95",91,"Weston-Pellam Park","(Includes parts of Carleton Village)","51.4","48.6","34.3","80.0","7.1","67.9","8.6","55.7","25.0","37.9"
"96",36,"Newtonbrook West","(Includes parts of Steeles Corners)","4.3","27.1","71.4","67.9","22.9","53.6","20.0","90.0","72.1","35.7"
"97",109,"Caledonia-Fairbank",NA,"63.6","77.9","21.4","32.9","5.0","63.6","18.6","66.4","8.6","45.0"
"98",46,"Pleasant View","(Includes parts of Shawnee Park)","36.4","82.9","7.1","30.7","3.6","28.6","52.9","87.1","81.4","35.0"
"99",125,"Ionview","(Includes parts of Treverton Park)","16.4","74.3","47.1","76.4","22.1","46.4","38.6","69.3","0.7","14.3"
"100",49,"Bayview Woods-Steeles",NA,"26.4","77.9","3.6","19.3","56.4","13.6","32.1","82.1","86.4","49.3"
"101",85,"South Parkdale","(Includes parts of Liberty Village)","8.6","17.1","65.0","77.9","27.1","80.0","24.3","44.3","63.6","32.1"
"102",123,"Cliffcrest",NA,"81.4","50.0","11.4","1.4","41.4","16.4","61.4","28.6","82.9","45.7"
"103",44,"Flemingdon Park",NA,"14.3","72.9","27.1","68.6","2.9","25.0","72.1","97.1","45.0","5.7"
"104",126,"Dorset Park","(Includes parts of McGregor Park)","31.4","18.6","67.1","33.6","39.3","60.0","58.6","81.4","16.4","20.7"
"105",121,"Oakridge",NA,"1.4","26.4","72.9","75.0","39.3","59.3","64.3","71.4","15.0","2.1"
"106",61,"Taylor-Massey",NA,"3.6","45.0","41.4","86.4","26.4","52.1","75.7","65.7","24.3","5.0"
"107",124,"Kennedy Park",NA,"30.7","32.1","62.9","60.7","9.3","38.6","77.9","62.1","33.6","13.6"
"108",118,"Tam O'Shanter-Sullivan",NA,"22.1","38.6","16.4","55.0","49.3","51.4","50.7","87.9","34.3","22.9"
"109",139,"Scarborough Village",NA,"12.1","35.0","5.7","69.3","54.3","62.1","76.4","64.3","46.4","7.1"
"110",47,"Don Valley Village",NA,"5.0","22.9","51.4","28.6","59.3","30.0","61.4","91.4","72.9","34.3"
"111",17,"Mimico","(Includes parts of Humber Bay and Humber Bay Shores)","57.9","21.4","35.7","44.3","33.6","36.4","40.7","39.3","27.1","79.3"
"112",129,"Agincourt North","(Includes parts of Corinthian, Clarks Corners and Chester Le)","48.6","55.0","35.0","16.4","36.4","19.3","49.3","98.6","32.1","19.3"
"113",120,"Clairlea-Birchmount","(Includes parts of Golden Mile and Scarborough Junction)","58.6","9.3","77.9","15.7","24.3","61.4","60.0","50.0","10.0","37.1"
"114",26,"Downsview-Roding-CFB","(Includes parts of Winston Park and Ancaster)","70.0","6.4","44.3","17.9","19.3","31.4","89.3","77.9","26.4","32.1"
"115",5,"Elms-Old Rexdale",NA,"60.7","86.4","2.9","21.4","1.4","22.1","83.6","62.1","30.0","15.0"
"116",34,"Bathurst Manor",NA,"10.7","69.3","43.6","40.0","39.3","17.1","28.6","59.3","50.0","58.6"
"117",29,"Maple Leaf","(Includes parts of North Park)","80.0","97.1","15.0","12.1","0.7","1.4","22.1","79.3","6.4","44.3"
"118",116,"Steeles",NA,"35.0","66.4","27.9","10.0","30.0","21.4","50.0","99.3","31.4","24.3"
"119",112,"Beechborough-Greenbrook",NA,"34.3","79.3","12.9","64.3","7.9","9.3","35.0","65.0","65.7","10.7"
"120",54,"O'Connor-Parkview",NA,"25.7","36.4","40.0","63.6","50.7","42.1","42.1","35.0","10.7","39.3"
"121",137,"Woburn","(Includes parts of Ben Jungle and Golfdale Gardens)","33.6","4.3","57.1","53.6","50.7","32.1","57.1","80.0","20.0","6.4"
"122",22,"Humbermede",NA,"53.6","47.1","7.9","26.4","10.0","33.6","85.7","89.3","23.6","12.9"
"123",131,"Rouge","(Includes parts of Brookside, Hillside and Dean Park)","86.4","16.4","9.3","5.0","32.1","3.6","85.7","72.9","19.3","50.0"
"124",32,"Englemount-Lawrence",NA,"6.4","33.6","77.1","10.0","29.3","25.7","67.1","47.9","74.3","40.7"
"125",117,"L'Amoreaux",NA,"30.0","20.7","22.1","66.4","45.0","35.0","20.7","92.9","22.9","17.9"
"126",2,"Mount Olive-Silverstone-Jamestown",NA,"18.6","18.6","23.6","57.1","43.6","29.3","83.6","94.3","9.3","1.4"
"127",132,"Malvern",NA,"54.3","10.7","36.4","20.7","55.0","11.4","74.3","83.6","4.3","11.4"
"128",135,"Morningside","(Includes parts of Curran Hall)","50.7","60.7","1.4","7.9","57.9","5.0","66.4","57.9","39.3","7.9"
"129",115,"Mount Dennis",NA,"20.7","52.1","14.3","58.6","6.4","54.3","14.3","67.1","60.0","11.4"
"130",30,"Brookhaven-Amesbury",NA,"22.1","37.1","19.3","52.1","36.4","56.4","32.1","77.1","2.1","18.6"
"131",24,"Black Creek",NA,"28.6","24.3","40.7","40.0","44.3","15.7","56.4","83.6","7.9","0.7"
"132",43,"Victoria Village","(Includes parts of Parma Court)","2.9","51.4","39.3","34.3","24.3","23.6","30.7","60.7","67.1","25.0"
"133",111,"Rockcliffe-Smythe","(Includes parts of Smythe Park and Roselands)","37.1","24.3","32.1","48.6","2.1","22.9","45.0","63.6","34.3","26.4"
"134",6,"Kingsview Village-The Westway",NA,"65.7","27.9","20.0","29.3","18.6","5.7","46.4","72.1","5.7","22.1"
"135",138,"Eglinton East",NA,"17.9","21.4","26.4","51.4","20.7","60.7","26.4","68.6","35.7","2.9"
"136",28,"Rustic",NA,"37.1","91.4","8.6","11.4","4.3","12.1","35.0","73.6","13.6","8.6"
"137",13,"Etobicoke West Mall",NA,"20.0","87.1","20.7","2.9","11.4","10.0","6.4","57.1","30.7","48.6"
"138",35,"Westminster-Branson",NA,"2.1","47.9","4.3","32.1","5.7","8.6","45.0","86.4","54.3","30.7"
"139",45,"Parkwoods-Donalda","(Includes parts of Graydon Hall and York Heights)","5.7","35.7","30.0","14.3","13.6","14.3","36.4","51.4","71.4","42.1"
"140",136,"West Hill","(Includes parts of Manse Valley)","27.9","12.9","6.4","21.4","57.1","20.0","27.1","45.7","70.0","9.3"
